open,high,low,close,tick_volume,spread,real_volume,time2,support_trendline,resistance_trendline,support_gradient,resistance_gradient,ema_50,ema_24,hour_lsma,prev_hour_lsma,hour_lsma_slope,prev_hour_lsma_slope,hour_macd_line,hour_macd_signal,stoch_k,stoch_d,prev_fixed_support_trendline,prev_fixed_resistance_trendline,prev_fixed_support_gradient,prev_fixed_resistance_gradient,fixed_resistance_gradient,fixed_support_gradient,fixed_support_trendline,fixed_resistance_trendline,prev_hour_macd_line,prev_hour_macd_signal
61401.586,61511.34,60694.738,61262.238,10338,53914,0,2024-03-01 00:00:00,60694.738,61891.74661439447,0.0004360011638923415,-0.0006386884467759595,,,,,,,,,,,,,,,,,,,,
61248.41,61581.738,61157.355,61185.137,5505,36422,0,2024-03-01 01:00:00,60868.3580736092,61809.83680853043,-0.00017141656161956403,4.693627316108858e-05,,,,,,,,,,,,,,,,,,,,
61186.039,61812.738,61181.238,61554.848,7514,36422,0,2024-03-01 02:00:00,60608.16003042508,61812.73799999997,0.0011994212018585884,4.689765666973962e-05,,,,,,,,,,,,,,,,,,,,
61555.305,61629.938,61173.137,61276.137,6735,36422,0,2024-03-01 03:00:00,60611.495241839024,61629.938000000024,0.0017716180187616899,0.001533424920544492,,,,,,,,,,,,,,,,,,,,
61265.164,61265.164,60836.84,61045.738,7352,36422,0,2024-03-01 04:00:00,60719.747217721124,61264.62886001486,0.001767845751007312,0.0027814553000008713,,,,,,,,,,,,,,,,,,,,
61042.211,61300.039,60826.637,61165.137,6394,36422,0,2024-03-01 05:00:00,60827.17807009417,61426.98521860552,0.0017678695356008916,0.0028084307924230675,,,,,,,,,,,,,,,,,,,,
61161.883,61600.34,61116.84,61594.84,5475,36422,0,2024-03-01 06:00:00,60979.26139407194,61780.52745407266,0.0015855538205315576,0.0020757915414491537,,,,,,,,,,,,,,,,,,,,
61594.84,61616.238,61349.016,61367.738,4950,36422,0,2024-03-01 07:00:00,61000.12040268485,62009.45178660054,0.0020000688392918754,0.0015348565470966625,,,61347.770761904816,,,,,,,,,,,,-0.0006386884467759595,0.0004360011638923415,60987.18507371442,61457.47834909468,,
61361.969,61830.738,61259.051,61607.539,5330,36422,0,2024-03-01 08:00:00,61102.1541651024,62122.27440207577,0.002164461281515848,0.001393390293786009,,,61441.80508333333,61347.770761904816,94.0343214285167,,,,,,60987.18507371442,61457.47834909468,0.0004360011638923415,-0.0006386884467759595,4.693627316108858e-05,-0.00017141656161956403,60753.39670542279,61841.84024484446,,
61607.539,61826.539,61416.891,61467.637,7057,36422,0,2024-03-01 09:00:00,61334.85131438553,62208.10564570039,0.0005370280833755285,0.0013970334440966377,,,61457.637345238116,61441.80508333333,15.832261904783081,94.0343214285167,,,,,60753.39670542279,61841.84024484446,-0.00017141656161956403,4.693627316108858e-05,4.689765666973962e-05,0.0011994212018585884,61415.03502556469,61844.710005997025,,
