time,open,high,low,close,tick_volume,spread,real_volume,hourly_time,time2,prev_hour_lsma_slope,prev_hour_macd_line,hour_lsma,fixed_support_gradient,fixed_resistance_gradient,prev_hour_lsma,fixed_support_trendline,fixed_resistance_trendline,ema_short,ema_long,lsma,macd_line,macd_signal,lsma_stddev,lsma_slope,prev_lsma_slope_1,prev_lsma_slope_2,lsma_upper_band,lsma_lower_band,stoch_k,stoch_d,is_buy2,is_sell2,tp,sl,be,be_condition
2024-05-29 00:00:00,68343.734,68371.039,68261.18,68312.141,1190,56421,0,2024-05-29 00:00:00,2024-05-29 00:00:00,,,,,,,,,,,,,,,,,,,,,,False,False,,,,
2024-05-29 00:15:00,68312.141,68572.234,68312.141,68420.734,1886,56421,0,2024-05-29 00:00:00,2024-05-29 00:00:00,,,,,,,,,,,,,,,,,,,,,,False,False,,,,
2024-05-29 00:30:00,68420.734,68514.539,68386.82,68390.039,1743,56421,0,2024-05-29 00:00:00,2024-05-29 00:00:00,,,,,,,,,,,,,,,,,,,,,,False,False,,,,
2024-05-29 00:45:00,68390.039,68476.734,68386.539,68403.867,1526,56421,0,2024-05-29 00:00:00,2024-05-29 00:00:00,,,,,,,,,,,,,,,,,,,,,,False,False,,,,
2024-05-29 01:00:00,68402.438,68662.641,68387.328,68585.641,1996,56421,0,2024-05-29 01:00:00,2024-05-29 01:00:00,,,,,,,,,,,,,,,,,,,,,,False,False,,,,
2024-05-29 01:15:00,68579.039,68691.734,68544.734,68621.414,1737,36421,0,2024-05-29 01:00:00,2024-05-29 01:00:00,,,,,,,,,,,,,,,,,,,,,,False,False,,,,
2024-05-29 01:30:00,68621.828,68653.836,68493.953,68568.539,1473,36421,0,2024-05-29 01:00:00,2024-05-29 01:00:00,,,,,,,,,,,,,,,,,,,,,,False,False,,,,
2024-05-29 01:45:00,68568.938,68659.336,68552.688,68630.938,998,36421,0,2024-05-29 01:00:00,2024-05-29 01:00:00,,,,,,,,,,,,,,,,,,,,,,False,False,,,,
2024-05-29 02:00:00,68635.336,68641.539,68388.078,68432.438,1623,36421,0,2024-05-29 02:00:00,2024-05-29 02:00:00,,,,,,,,,,,,,,,,,,,,,,False,False,,,,
2024-05-29 02:15:00,68433.141,68501.734,68392.625,68501.734,760,36421,0,2024-05-29 02:00:00,2024-05-29 02:00:00,,,,,,,,,,,,,,,,,,,,,,False,False,,,,
