time,open,high,low,close,tick_volume,spread,real_volume,support_trendline_15,resistance_trendline_15,support_gradient_15,resistance_gradient_15,supertrend_dir,Span_A,Span_B,fixed_resistance_gradient_15,fixed_support_gradient_15,fixed_support_trendline_15,fixed_resistance_trendline_15,hourly_time,time2,prev_hour_lsma_slope,prev_hour_macd_line,hour_lsma,fixed_support_gradient,fixed_resistance_gradient,prev_hour_lsma,fixed_support_trendline,fixed_resistance_trendline,prev_fixed_support_trendline,prev_fixed_resistance_trendline,prev_fixed_resistance_gradient,prev_fixed_support_gradient,ema_50,ema_24,prev_stochk,prev_stochd,prev_hour_macd_signal,prev_psar,prev_psar_direction,prev_nadaraya_watson,prev_nadaraya_watson_trend,nadaraya_upper_envelope,nadaraya_lower_envelope,wma_50,prev_supertrend_dir,HSpan_A,HSpan_B,nadaraya_watson,prev_nadaraya_lower_band,prev_nadaraya_upper_band,prev_HSpan_A,prev_HSpan_B,support_trendline,resistance_trendline,lsma,ema_short,ema_long,macd_line,macd_signal,lsma_stddev,lsma_slope,prev_lsma_slope_1,prev_lsma_slope_2,lsma_upper_band,lsma_lower_band,stoch_k,stoch_d,is_doji,is_doji_star,3whitesoldiers,3blackcrows,engulfing,inverted_hammer,two_crows,three_inside,three_line_strike,three_outside,three_stars_in_south,abandoned_baby,advance_block,belt_hold,breakaway,closing_marubozu,conceal_baby_swallow,counterattack,dark_cloud_cover,doji,doji_star,dragonfly_doji,evening_doji_star,evening_star,gap_side_side_white,gravestone_doji,hammer,hanging_man,harami,harami_cross,high_wave,hikkake,hikkake_mod,homing_pigeon,identical_three_crows,in_neck,kicking,kicking_by_length,ladder_bottom,long_legged_doji,long_line,matching_low,mat_hold,morning_doji_star,morning_star,on_neck,piercing,rickshaw_man,rise_fall_3_methods,separating_lines,shooting_star,short_line,spinning_top,stalled_pattern,stick_sandwich,takuri,tasuki_gap,thrusting,tristar,unique_3_river,upside_gap_two_crows,xside_gap_3_methods,ticket,is_buy2,is_sell2,signal,tp,sl,be,be_condition
2024-10-18 07:00:00,43474.99,43478.49,43470.99,43475.99,84,600,0,43444.15228959257,43478.055708870685,3.845420852487179e-06,7.676499373069484e-05,,,,,,,,2024-10-18 07:00:00,2024-10-18 07:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43347.39956414446,43676.00746312972,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,False,False,,,,,
2024-10-18 07:15:00,43472.99,43481.49,43472.99,43476.99,90,600,0,43430.04945256767,43481.05675094981,3.669722448606189e-05,7.728119921559951e-05,,,,,,,,2024-10-18 07:00:00,2024-10-18 07:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43347.39956414446,43676.00746312972,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,False,False,,,,,
2024-10-18 07:30:00,43477.99,43483.99,43476.99,43481.99,99,600,0,43416.95330469353,43483.55756444671,7.428483254021997e-05,7.8693187874849e-05,,,,,,,,2024-10-18 07:00:00,2024-10-18 07:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43347.39956414446,43676.00746312972,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,False,False,,,,,
2024-10-18 07:45:00,43480.99,43485.99,43480.99,43482.99,64,600,0,43410.57143679599,43485.5577878698,0.00010194556571584284,8.120816563917719e-05,,,,,,,,2024-10-18 07:00:00,2024-10-18 07:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43347.39956414446,43676.00746312972,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,False,False,,,,,
2024-10-18 08:00:00,43483.99,43485.99,43476.99,43482.49,181,600,0,43408.861461774155,43485.55952382566,0.00012213657897566042,8.797218608548951e-05,,,,,,,,2024-10-18 08:00:00,2024-10-18 08:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43340.3710846999,43671.97129916713,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,False,False,,,,,
2024-10-18 08:15:00,43482.99,43483.49,43470.99,43471.99,156,600,0,43423.19464283277,43485.30056168637,8.747005735945875e-05,9.651103457074346e-05,,,,,,,,2024-10-18 08:00:00,2024-10-18 08:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43340.3710846999,43671.97129916713,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,False,False,,,,,
2024-10-18 08:30:00,43472.99,43486.49,43472.99,43484.99,146,600,0,43426.992265235596,43497.08582296974,8.747361755934785e-05,7.906409704433607e-05,,,,,,,,2024-10-18 08:00:00,2024-10-18 08:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43340.3710846999,43671.97129916713,,,,,,4.6967567330575495,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,False,False,,,,,
2024-10-18 08:45:00,43482.99,43490.9,43478.99,43489.4,149,600,0,43430.79170481223,43508.11188441306,8.747040949618547e-05,5.968704830399813e-05,,,,,,,,2024-10-18 08:00:00,2024-10-18 08:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43340.3710846999,43671.97129916713,,,,,,5.609427863195351,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,False,False,,,,,
2024-10-18 09:00:00,43488.9,43490.49,43481.49,43485.99,252,600,0,43436.91560547233,43515.362942648324,6.962930546155997e-05,4.6317175725063295e-05,,,,,,,,2024-10-18 09:00:00,2024-10-18 09:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43332.63951858751,43667.970863462244,,,,,,5.4186156200746565,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,False,False,,,,,
2024-10-18 09:15:00,43486.99,43489.99,43469.99,43474.99,137,600,0,43443.64816634625,43515.42580352634,3.19032172456482e-05,5.13031569370706e-05,,,,,,,,2024-10-18 09:00:00,2024-10-18 09:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43332.63951858751,43667.970863462244,,,,,,6.191235356381121,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,False,False,,,,,
