time,open,high,low,close,tick_volume,spread,real_volume,ema_short,ema_long,lsma,macd_line,macd_signal,lsma_stddev,lsma_upper_band,lsma_lower_band,is_buy2,is_sell2,tp,sl
2024-06-17 01:00:00,2333.31,2333.31,2330.4,2330.45,616,30,0,,,,,,,,,False,False,,
2024-06-17 01:15:00,2330.25,2331.03,2329.89,2329.97,324,27,0,,,,,,,,,False,False,,
2024-06-17 01:30:00,2329.96,2330.06,2327.54,2328.26,573,32,0,,,,,,,,,False,False,,
2024-06-17 01:45:00,2328.25,2329.51,2328.25,2328.77,316,32,0,,,,,,,,,False,False,,
2024-06-17 02:00:00,2328.87,2329.11,2328.0,2328.4,360,28,0,,,,,,,,,False,False,,
2024-06-17 02:15:00,2328.34,2328.34,2327.35,2327.98,365,29,0,,,,,,,,,False,False,,
2024-06-17 02:30:00,2327.95,2329.58,2327.63,2329.21,743,27,0,,,,,,,,,False,False,,
2024-06-17 02:45:00,2329.22,2329.23,2328.34,2328.79,430,31,0,,,,,,,,,False,False,,
2024-06-17 03:00:00,2328.8,2328.8,2325.46,2326.63,1191,27,0,,,,,,,,,False,False,,
2024-06-17 03:15:00,2326.68,2326.98,2325.17,2325.82,915,32,0,,,,,,,,,False,False,,
2024-06-17 03:30:00,2325.75,2326.84,2325.71,2326.66,839,31,0,,,,,,,,,False,False,,
2024-06-17 03:45:00,2326.61,2327.13,2325.7,2326.3,627,32,0,2328.1033333333335,,,,,,,,False,False,,
2024-06-17 04:00:00,2326.37,2326.75,2322.68,2325.31,2773,27,0,2327.67358974359,,,,,,,,False,False,,
2024-06-17 04:15:00,2325.29,2328.9,2325.29,2326.35,2052,27,0,2327.4699605522687,,,,,,,,False,False,,
2024-06-17 04:30:00,2326.26,2328.42,2325.36,2325.51,1956,27,0,2327.168428159612,,,,,,,,False,False,,
2024-06-17 04:45:00,2325.49,2327.3,2325.39,2326.2,1532,29,0,2327.0194392119793,,,,,,,,False,False,,
2024-06-17 05:00:00,2326.19,2326.19,2323.41,2324.25,1847,27,0,2326.5933716409054,,,,,,,,False,False,,
2024-06-17 05:15:00,2324.22,2325.69,2323.98,2325.47,839,30,0,2326.4205452346123,,,,,,,,False,False,,
2024-06-17 05:30:00,2325.44,2325.74,2321.82,2323.1,2033,27,0,2325.909692121595,,,,,,,,False,False,,
2024-06-17 05:45:00,2323.05,2323.75,2321.42,2322.55,1295,27,0,2325.3928164105805,,,,,,,,False,False,,
2024-06-17 06:00:00,2322.48,2323.07,2321.63,2322.31,1305,27,0,2324.918536962799,,,,,,,,False,False,,
2024-06-17 06:15:00,2322.3,2323.17,2321.94,2322.77,1086,28,0,2324.587992814676,,,,,,,,False,False,,
